Review,label
"Considering the overall flying time from Muscat to Houston via Doha was 19 hours or so I was dreading to do it in an economy class flight. However do to pricing factors for a business class ticket, I transferred my amazing American Express membership reward points to my QA account and credited it with miles. After having done that I called up the call centre who said there weren't any seats available for miles. I was disappointed as  I had already transferred my amex points out by then. As my date of travel arrived, departed Muscat to Doha on economy I had a 2.5 hr transit in doha and felt like trying my luck at the customer service counter.  Unfortunately my hope for an upgrade via miles was not entertained by the lady stating I was not eligible. Not giving up i was directed by another  staff to head to the counter where the security checks were. One staff typed away on his system started making calls and told me theres just one seat available which only could be released after confirmation from his team which would just one hour prior to departure. Keeping my fingers crossed 10 minutes later he told me I was able to avail the upgrade! The efforts made by Ahmed were so remarkable that I insisted I raise this to the management that staff like this should be admired and rewarded for such excellent service and should be role models. The gesture made such a difference to the whole trip as the Qsuite on the A350 is an amazing experience and I think it's a better than even the A380 business having the double bed feel side by side to your partner is wonderful. We've shared our experience with friends and family stating it's not just a 5 star service on board meeting the right staff gave us a 5 star service on ground too.",1
"First experience flying Small Planet was a great success. We often go to Greece to visit family in Volos and usually fly EasyJet to Thessaloniki. Our flight from Gatwick to Volos via Skiathos on 31st May was a bit late leaving due to bad weather at Gatwick. The plane was not Small Planet but had been chartered from Air Afriqiyah but flew with Small Planet crew. Most passengers were flying in and out of Skiathos with only six on to Volos. The plane was cleaned and restocked efficiently at Skiathos while the six remained on board. We flew direct home from Volos a week later on a Small Planet plane. On both flights the crew were friendly, helpful and professional. The planes were clean, well stocked, seats comfortable and legroom adequate for a short haul with the Small Planet plane appearing quite new. We were very happy with all aspects of our flights and will certainly use Small Planet again to Volos.",1
"Melbourne to Kuala Lumpur via Singapore. Bought Emirates tickets but fly with Qantas and Jestar. Used to fly Emirates and the services was pretty good so we went back to Emirates. Both Qantas and Jestar was ok too but this whole codeshare thing had really ruin our family trip. Ticketing was not transferred properly from one airline to the other airline and we have had to scrumble to find our own way. When customer purchased a ticket from one airline their expectation is solely to that particular airline. Otherwise we could have chosen other airlines. Nearly missed our flight. Treated poorly at counter and was told it was ticketed by another airline so we didn't get to choose seats, food or nothing at all. Essentially a subclass customers. We did not know nor had chosen Qantas and Jestar. Not once heard of Emirates other than paying more and handed to other airline including a budget airline.  We have had to carry our infant on hand despite empty seats are available. It was horrible.  Totally unacceptable.",0
"Gatwick to Sofia. Efficient and on time for both departure and return. Cabin announcements were complete and non intrusive. Aircraft was clean and cabin staff were great for full flights. The purchase on board of wine and snack package was really good. For the money paid for this flight, this was incredible value.",1
"Flew to Cuba from Fredericton food has gone donehill this was our 7th and last trip to Cuba. Flight was late leaving Fredericton 19th April and late arriving on 26th April. No communication to us while we were waiting to be picked up in Cuba. Pizza definitely not recommended. attendant informed us we should buy the ""duty free"" on the trip to Cuba because the supplies would be gone on the return flight. So this was done then much to our surprise the Cuban security staff seized our ""duty free"" alcohol and said we could not even put it in our check in luggage on our way out of Cuba. We now have to declare what we are bringing into Cuba gifts cell phones all electrical devices we are carrying.",0
Stockholm to Odessa via Warsaw with LOT Polish Airlines. First flight to Warsaw began OK. After a while captain said that due to foggy weather he had to go to Gdansk. There we stood waiting for two hours. The plane was filled with petrol but our stomachs didn't seem so important. When we later started to Warsaw they said they wanted to give us a cup of coffee or tea for free.  When they came to me I said I wanted to order a sandwich but it was impossible. I said I must eat but they didn't have anything. I told I had an important business meeting in Odessa and some minutes later she came back and told me that flight to Odessa should wait for me. In Warsaw I was running to gate 21. They had never seen a pensioner running so fast at this airport. When I came to the gate door was locked and nobody there. Why they promised when they couldn't hold it. The plane was still at building and they had to wait only for some seconds. Had to wait 26 hours on their next flight. ,0
Johannesburg to Bloemfontein. My flight was due to leave at 0610 but when I got to the boarding gate at 0550 the gates were closed.  I went to SA Express counter but there was no one there to assist. I was the told by the check staff that I had to purchase another ticket.,0
"First time flying with Silver Airways. Booked the flight because of their association with JetBlue. Biggest mistake! I knew something was wrong when there was only one ticket agent at the counter attending the guests to check in their bags. She took her time and looked a bit stressed. In addition, the departure time and gate information did not match the ticket sent to me. I asked about it and she said it was a mistake. Fast forward, we board the airplane and it was hot! I don't think that the temperature got to tolerable state ever! We land at FLL and my bag was not there. It was left at JAX due to weight limitations. This was never disclosed my the agent in JAX or in their website. I was told to file a claim with their Guest Relations team. They do not have a phone number. It's only an email. They denied the claim! This is an airline that should be non existent. They lack experience, customer service, professionalism, and appetite to excel. It is a joke! People complain about Spirit, this is that airline but on propellers with about a third of their employees and experience. Run! Don't waste your time or money!",0
Bangkok to Koh Samui. Cheap fare but directed to lounge with free refreshments snacks and Internet. Onboard for a 55 minute flight there was plenty of food available. Great service and good leg room.,1
"Oulu to Helsinki. Easy check in with Finnair mobile app. Smooth boarding. Cabin fresh and clean. I had good legroom because a seat on the exit row. Complimentary coffee, tea, blueberry juice and water. It's enough in the 55 minutes domestic flight. Also I bought beer and some crisps. Excellent cabin crew who were friendly, smiling and efficient. Very nice experience.",1
